   ;PAY;CNT;PAY_DATE
550;22707801,3;32091;03.07.2013
551;18101742,64;24945;04.07.2013
552;16015432,37;21186;05.07.2013
553;11157782,42;14950;06.07.2013
554;886890,21;1205;07.07.2013
555;15501579,74;21309;08.07.2013
556;14596708,06;19195;09.07.2013
557;14130966,58;18074;10.07.2013
558;12549556,51;16112;11.07.2013
559;12262336,25;15830;12.07.2013
560;8513471,05;11305;13.07.2013
561;769653,05;1095;14.07.2013
562;14663574,91;22469;15.07.2013
563;16631571,45;27579;16.07.2013
564;19482262,06;36503;17.07.2013
565;24344460,19;50891;18.07.2013
566;30379090,07;70564;19.07.2013
567;27262878,85;64574;20.07.2013
568;2230327,31;4936;21.07.2013
569;36309068,7;88210;22.07.2013
570;38561852,64;91364;23.07.2013
571;39220454,41;89379;24.07.2013
572;36309907,68;81100;25.07.2013
573;31319875,32;67112;26.07.2013
574;21388030,35;45556;27.07.2013
575;1818761,74;3569;28.07.2013
576;33726769,38;73062;29.07.2013
577;31929551,16;66216;30.07.2013
578;29073785,21;55086;31.07.2013
579;19211037,55;29123;01.08.2013
580;15385524,76;22837;02.08.2013
581;10770507,41;16274;03.08.2013
582;758688,88;1221;04.08.2013
583;16251198,15;23860;05.08.2013
584;14129386,68;20346;06.08.2013
585;12909270,72;17431;07.08.2013
586;11450497,74;15283;08.08.2013
587;11609851,52;15355;09.08.2013
588;9050361,52;12474;10.08.2013
589;773933,28;1033;11.08.2013
590;13757362,29;19733;12.08.2013
591;15927526,74;24100;13.08.2013
592;18467990,66;32636;14.08.2013
593;19858688,23;37837;15.08.2013
594;29151621;60425;16.08.2013
595;23731102,76;50414;17.08.2013
596;2352398,03;4641;18.08.2013
597;39317719,72;88186;19.08.2013
598;42256737,74;90531;20.08.2013
599;37163842,02;78875;21.08.2013
600;35132164,86;73132;22.08.2013
601;33344908,75;68668;23.08.2013
602;24105190,53;50024;24.08.2013
603;2147243,32;4186;25.08.2013
604;34802359,36;72558;26.08.2013
605;32004726,4;62217;27.08.2013
606;28332241,87;55625;28.08.2013
607;27500418,75;52225;29.08.2013
608;28174187,3;52538;30.08.2013
609;20339479,05;36644;31.08.2013
610;1514130,86;2352;01.09.2013
